Name,Age,Gender,Location,Education Level,Occupation,Hobbies,Religious Beliefs,Preferred Age Range,Preferred Gender,Extroversion,Agreeableness,Conscientiousness,Neuroticism,Openness to Experience,Smoking Habits,Drinking Habits,Dietary Preferences,Fitness Level,Date of Birth,Zodiac Sign,Past Relationship Experience,Number of Relationships,Important Qualities,Deal Breakers,Relationship Goals,Salary
Jamie,20,M,New Allisonshire,PhD,Gaffer,news;could,Hindu,30-34,M,6,2,6,4,6,Yes,Yes,Vegetarian,2,03/02/1998,Aquarius,Yes,5,Humor,Disloyalty;Disloyalty,Long-term,192688
Shannon,46,F,Carpenterburgh,High School,Chief Operating Officer,agreement;process;carry,Muslim,26-40,M,6,10,8,4,2,No,Yes,Other,5,07/11/1967,Scorpio,No,0,Support;Support;Honesty,Negativity;Negativity,Casual,133727
Mark,51,M,Seanberg,Masters,Trade union research officer,do;view,Other,25-33,M,4,1,8,7,3,Yes,No,Vegetarian,7,16/07/2005,Cancer,Yes,5,Compatibility;Compatibility,Smoking,Casual,142893
Thomas,27,M,South Brian,PhD,Adult nurse,admit;month;interesting,Other,29-49,M,2,1,2,2,5,No,No,Vegan,8,14/06/1967,Gemini,Yes,0,Compatibility,Disloyalty;Negativity,Long-term,50932
Deborah,48,M,South Brandonberg,PhD,Regulatory affairs officer,their,Muslim,22-33,F,3,1,5,8,10,Yes,No,Vegan,6,20/07/1981,Cancer,No,0,Kindness,Smoking;Disloyalty,Marriage,147796
Russell,25,M,Fishermouth,PhD,Chartered legal executive (England and Wales),large;data,Other,29-37,M,10,5,3,3,4,No,No,Vegetarian,9,16/12/1966,Sagittarius,Yes,1,Humor;Support,Negativity;Smoking,Marriage,59855
Chad,56,M,Lake Alfred,Masters,Illustrator,ago;fight,Atheist,23-37,F,8,7,5,3,10,Yes,No,Non-Vegetarian,8,11/01/1998,Capricorn,Yes,1,Kindness;Humor,Smoking;Disloyalty,Long-term,37400
Craig,48,M,Port Benjamin,High School,Civil Service fast streamer,bar;all;certainly,Christian,20-35,M,1,6,10,10,2,No,No,Vegan,6,27/10/1987,Scorpio,Yes,3,Support,Disloyalty;Disloyalty,Marriage,147858
Joshua,30,M,West Christopherfurt,Bachelors,Sport and exercise psychologist,weight,Atheist,27-48,M,3,6,3,6,5,No,Yes,Non-Vegetarian,1,06/06/1993,Gemini,No,0,Intelligence,Disloyalty,Casual,45151
Meagan,20,F,East Micheal,High School,"Therapist, horticultural",it;list,Jewish,22-36,M,8,5,1,6,2,No,Yes,Other,3,01/08/2001,Leo,Yes,3,Honesty;Intelligence,Disloyalty,Marriage,96690
Richard,54,F,North Michele,Bachelors,Tax inspector,management,Buddhist,24-44,F,3,4,9,8,1,Yes,No,Vegan,4,09/08/2002,Leo,No,0,Intelligence,Disloyalty,Marriage,34499
Sara,44,M,Chaveztown,PhD,Industrial/product designer,future,Muslim,21-49,F,7,4,6,10,2,Yes,Yes,Vegetarian,8,10/07/1972,Cancer,Yes,2,Intelligence;Intelligence,Smoking;Negativity,Marriage,36295
Megan,35,M,Port Sarah,Bachelors,Applications developer,particular;manager,Muslim,27-47,M,5,8,5,8,4,Yes,No,Other,3,21/05/1984,Gemini,No,0,Humor,Smoking;Smoking,Long-term,150885
Charles,52,M,West Michaelborough,Bachelors,Market researcher,place;first,Muslim,24-42,M,6,4,8,2,7,Yes,No,Vegan,1,23/09/1977,Libra,No,0,Honesty,Smoking,Marriage,156071
Brian,50,F,West Kathrynmouth,PhD,"Engineer, agricultural",win;man,Christian,22-38,M,9,4,10,9,2,Yes,No,Other,6,06/11/1986,Scorpio,No,0,Compatibility;Support,Smoking;Disloyalty,Casual,89040
Joel,18,F,West Katherine,Bachelors,Arboriculturist,lose,Buddhist,23-31,F,7,2,9,4,9,Yes,Yes,Vegan,1,19/08/1973,Leo,No,0,Kindness,Smoking;Smoking,Casual,42183
Leslie,48,F,Charlesbury,Masters,Equities trader,although;information;product,Muslim,26-33,M,1,6,10,6,4,Yes,No,Vegan,6,13/07/1995,Cancer,No,0,Intelligence;Humor;Support,Disloyalty,Casual,190371
Robert,35,M,New Justinburgh,PhD,Research scientist (medical),manage;pull,Jewish,30-31,F,1,9,5,9,10,No,No,Other,7,13/09/1973,Virgo,No,0,Compatibility;Compatibility;Support,Smoking;Disloyalty,Long-term,173946
Jamie,20,M,Gonzalesshire,Masters,Recruitment consultant,behind,Muslim,25-34,F,6,4,9,4,8,Yes,Yes,Other,2,30/01/1960,Aquarius,Yes,5,Honesty;Kindness,Negativity,Long-term,146336
Brittany,55,F,South Adrian,Bachelors,Chartered accountant,minute;pattern;risk,Atheist,26-42,M,2,6,8,7,3,Yes,No,Non-Vegetarian,2,29/08/1995,Virgo,No,0,Kindness;Honesty,Negativity,Long-term,62711
Derrick,54,M,West Christinaland,Bachelors,Clinical biochemist,adult;occur;then,Muslim,27-42,F,10,3,1,6,1,No,No,Vegan,8,24/06/1995,Cancer,Yes,3,Compatibility,Negativity,Marriage,35539
Paul,19,M,East Benjaminhaven,Bachelors,Chief Executive Officer,sport;happy,Christian,21-48,F,10,7,9,1,10,No,Yes,Other,9,25/03/1965,Aries,Yes,1,Compatibility;Support;Honesty,Negativity,Marriage,156063
Tony,19,F,West Charleneshire,Bachelors,Chartered public finance accountant,industry,Atheist,22-43,M,2,5,9,4,3,No,No,Other,1,30/08/1963,Virgo,Yes,2,Kindness;Intelligence,Smoking,Long-term,163629
Nancy,50,M,Lake Alexander,PhD,Training and development officer,life;clear,Jewish,29-46,M,7,2,2,6,1,Yes,No,Other,5,01/02/1985,Aquarius,No,0,Humor,Negativity,Marriage,68360
Monica,36,M,South Cassandra,PhD,Systems analyst,game;attention,Other,28-37,F,6,6,9,5,4,No,Yes,Other,8,28/04/1998,Taurus,Yes,0,Honesty;Kindness,Smoking,Casual,163272
Nicole,18,M,Port Patrickbury,Masters,Marine scientist,focus;individual;seem,Christian,21-48,M,4,3,8,3,3,Yes,Yes,Vegetarian,3,15/10/1996,Libra,No,0,Kindness;Humor;Kindness,Negativity,Long-term,51357
Kelly,44,F,Reedside,Bachelors,Immunologist,nice;let,Buddhist,30-33,M,4,3,5,6,7,Yes,No,Non-Vegetarian,7,01/03/1982,Pisces,Yes,2,Kindness,Smoking;Negativity,Long-term,149121
Kevin,18,M,West Katherineton,Bachelors,Speech and language therapist,prepare;general,Other,30-42,M,2,3,7,7,8,Yes,Yes,Non-Vegetarian,2,20/01/1964,Aquarius,Yes,4,Compatibility;Humor,Smoking;Disloyalty,Marriage,107505
Jennifer,43,F,Sanchezland,Bachelors,Herpetologist,special,Hindu,24-47,F,9,4,10,3,6,Yes,No,Other,4,28/03/1963,Aries,Yes,2,Support;Humor,Disloyalty,Casual,32869
Amy,27,F,West Tim,High School,Control and instrumentation engineer,maybe;whether,Atheist,30-39,F,9,4,9,10,5,Yes,Yes,Non-Vegetarian,7,10/11/1997,Scorpio,No,0,Kindness,Disloyalty;Disloyalty,Long-term,80108
Michelle,48,M,Lake Lauraborough,PhD,IT sales professional,of,Hindu,26-43,M,1,7,5,4,3,No,No,Vegetarian,9,03/11/1971,Scorpio,No,0,Humor;Support,Smoking,Long-term,142296
Sarah,39,M,New Randyview,PhD,"Journalist, broadcasting",up;move,Hindu,27-31,M,7,4,9,4,5,Yes,Yes,Vegan,4,01/03/1974,Pisces,Yes,5,Intelligence;Compatibility;Kindness,Negativity;Disloyalty,Marriage,124179
Robert,29,M,Jacksonmouth,High School,Quantity surveyor,then;education;field,Muslim,28-36,F,1,6,6,6,10,No,No,Non-Vegetarian,1,30/03/2004,Aries,No,0,Support,Smoking;Smoking,Marriage,120272
Barry,36,M,Port Jennifer,Masters,Building control surveyor,trouble;kind;onto,Hindu,27-38,F,4,9,8,7,10,Yes,No,Non-Vegetarian,7,20/09/1979,Virgo,Yes,2,Intelligence,Disloyalty;Disloyalty,Casual,68467
Kara,51,F,Lake Andrew,PhD,Child psychotherapist,final;office;these,Christian,22-37,F,7,5,1,3,9,No,No,Non-Vegetarian,1,13/05/1978,Taurus,Yes,1,Support,Smoking,Marriage,53328
Adam,35,F,West Richardfurt,High School,Armed forces training and education officer,race,Muslim,22-48,F,4,4,9,7,3,No,Yes,Vegan,7,20/11/2000,Scorpio,Yes,4,Honesty;Honesty;Honesty,Smoking,Marriage,121412
Jessica,48,F,East Dustinhaven,PhD,"Designer, industrial/product",between;list,Other,29-36,F,4,8,2,3,3,Yes,Yes,Other,6,25/03/1999,Aries,Yes,3,Kindness;Kindness;Compatibility,Smoking,Marriage,165059
William,58,F,Zacharyhaven,High School,Mudlogger,assume;piece,Other,20-42,F,9,6,3,7,10,Yes,No,Vegan,10,05/07/1986,Cancer,No,0,Intelligence,Negativity;Disloyalty,Marriage,88871
Keith,40,M,Williamberg,Masters,Waste management officer,instead;what;subject,Buddhist,29-36,F,4,4,2,10,9,No,No,Vegetarian,6,13/05/1980,Taurus,No,0,Compatibility;Intelligence,Disloyalty,Marriage,183471
Emily,32,F,Aaronfurt,Bachelors,"Scientist, physiological",walk;your;senior,Muslim,21-43,M,8,4,6,6,5,Yes,Yes,Vegan,10,30/07/1963,Leo,No,0,Honesty;Compatibility,Negativity,Marriage,158391
Jennifer,35,M,Port Joseph,High School,Podiatrist,total;top,Hindu,30-32,M,5,1,8,9,10,Yes,Yes,Other,2,27/11/1988,Sagittarius,No,0,Kindness,Disloyalty;Negativity,Long-term,116416
Francisco,36,F,Lake Patrick,Masters,Contractor,situation,Other,22-43,M,1,10,10,4,10,No,No,Non-Vegetarian,1,03/07/1983,Cancer,Yes,5,Humor;Honesty;Kindness,Negativity,Long-term,100271
Cynthia,59,M,Marshallshire,High School,"Designer, furniture",him;throw,Jewish,28-34,F,5,8,5,10,7,No,Yes,Other,10,09/08/1975,Leo,Yes,1,Compatibility,Negativity;Negativity,Casual,74064
Gary,29,M,West Jillborough,PhD,Quantity surveyor,feel;daughter,Other,21-38,F,10,1,4,6,1,No,Yes,Vegan,2,25/02/1998,Pisces,No,0,Compatibility,Disloyalty,Casual,137450
Linda,36,M,South Sharon,High School,Geophysicist/field seismologist,west;more,Jewish,26-34,M,10,6,6,2,9,No,Yes,Non-Vegetarian,2,06/08/1998,Leo,Yes,3,Compatibility;Kindness,Smoking,Long-term,49830
Jackson,24,F,East Marissaberg,PhD,Chief Marketing Officer,break;under;save,Buddhist,24-46,F,10,1,10,7,9,No,Yes,Non-Vegetarian,5,28/01/1995,Aquarius,Yes,3,Kindness,Disloyalty;Smoking,Long-term,178501
Jackson,59,F,South Dominiquetown,Masters,Patent attorney,side;imagine;management,Hindu,25-47,F,6,1,1,8,4,No,Yes,Vegetarian,1,11/09/1961,Virgo,Yes,5,Humor,Disloyalty;Disloyalty,Marriage,167965
Audrey,35,M,West Bettyport,Bachelors,"Journalist, newspaper",office;drive;range,Christian,23-50,F,7,8,6,7,9,No,No,Other,7,10/02/2004,Aquarius,No,0,Honesty;Honesty;Kindness,Negativity,Long-term,146381
Javier,46,F,Lake Jilliantown,Bachelors,Housing manager/officer,case;lay,Other,24-40,F,8,4,7,3,6,Yes,No,Non-Vegetarian,1,25/12/1966,Capricorn,Yes,0,Humor;Honesty,Disloyalty;Negativity,Long-term,77333
Lisa,54,M,West Michaelfurt,Masters,Photographer,indeed;according,Buddhist,23-32,F,2,5,6,7,7,Yes,No,Vegetarian,7,23/10/1962,Scorpio,Yes,1,Compatibility;Kindness;Compatibility,Negativity;Disloyalty,Long-term,164508
Donald,54,F,South Loretta,Masters,Health service manager,gun;key;think,Buddhist,20-49,M,2,10,5,10,8,Yes,Yes,Other,5,02/01/1996,Capricorn,No,0,Humor;Kindness;Support,Disloyalty,Long-term,106213
Tim,48,F,Port Vincentburgh,High School,Magazine features editor,idea;want,Other,26-39,M,10,3,4,3,8,No,No,Non-Vegetarian,8,13/02/2004,Aquarius,Yes,3,Support,Smoking,Long-term,166967
Robert,38,F,Duffyberg,High School,"Teacher, English as a foreign language",example;decision;section,Buddhist,27-34,M,10,1,5,8,9,Yes,No,Non-Vegetarian,9,26/08/1968,Virgo,No,0,Support;Compatibility;Compatibility,Smoking;Smoking,Casual,180810
Carla,47,M,New Edward,Bachelors,"Investment banker, operational",recognize,Buddhist,21-46,M,6,6,2,1,5,No,Yes,Other,7,11/08/1962,Leo,No,0,Humor;Honesty;Honesty,Disloyalty;Smoking,Long-term,60746
Robert,28,F,New Heatherborough,High School,Chief Operating Officer,space,Other,22-40,F,5,6,6,5,3,No,Yes,Vegetarian,5,08/02/2005,Aquarius,Yes,1,Compatibility;Honesty,Disloyalty,Long-term,79377
James,19,F,New Gregoryton,Bachelors,Publishing copy,table,Jewish,29-34,F,7,7,6,4,3,No,Yes,Vegan,5,19/02/1962,Pisces,No,0,Kindness,Negativity;Negativity,Casual,84045
Nicholas,37,F,East Jesseside,Bachelors,Wellsite geologist,relate;its,Hindu,27-33,F,3,5,10,2,1,No,Yes,Vegetarian,6,10/09/1967,Virgo,Yes,5,Humor;Humor,Negativity;Disloyalty,Long-term,127888
Angela,58,M,Port Joshualand,High School,Music therapist,agency,Hindu,29-42,M,1,2,5,10,1,Yes,No,Other,2,02/06/1964,Gemini,Yes,4,Intelligence,Disloyalty;Disloyalty,Long-term,137455
Tiffany,54,F,Lake Kristenshire,High School,Air cabin crew,paper,Atheist,22-34,M,6,10,10,1,5,Yes,Yes,Vegan,2,19/09/1997,Virgo,Yes,5,Honesty;Compatibility;Compatibility,Negativity,Casual,166672
Kristin,24,M,Lake Christopher,High School,Optometrist,receive;throw;me,Christian,25-38,F,4,4,4,9,5,Yes,No,Other,5,23/08/1999,Virgo,No,0,Humor;Humor;Intelligence,Smoking;Disloyalty,Long-term,123179
Joseph,33,M,Jenniferborough,High School,Materials engineer,boy;nation,Other,22-38,M,9,4,2,2,8,Yes,No,Vegan,5,28/11/1988,Sagittarius,No,0,Compatibility,Disloyalty;Disloyalty,Marriage,75714
Brenda,25,F,Ebonychester,PhD,Health promotion specialist,region;get;thought,Other,29-37,M,6,9,1,9,1,Yes,No,Vegan,9,14/10/1970,Libra,Yes,5,Humor;Compatibility,Negativity,Long-term,132946
Robin,28,F,Alanshire,Masters,Structural engineer,catch;car;cold,Muslim,20-33,M,10,7,3,3,10,Yes,Yes,Vegan,8,05/01/1986,Capricorn,Yes,5,Humor,Smoking,Casual,139616
Jennifer,32,F,Lawsonhaven,High School,Government social research officer,student;perhaps;claim,Muslim,23-42,F,9,9,9,4,1,No,Yes,Non-Vegetarian,8,14/11/1965,Scorpio,No,0,Support;Kindness;Kindness,Negativity;Negativity,Casual,135983
Cheryl,58,M,South Rebekahland,Masters,"Engineer, drilling",ago;much,Hindu,28-48,F,1,10,10,8,1,No,No,Other,6,21/12/1984,Sagittarius,No,0,Kindness,Negativity;Smoking,Casual,154123
Zachary,19,F,North Joshua,Masters,Records manager,medical;administration,Jewish,24-40,M,2,2,7,8,5,Yes,No,Vegetarian,7,02/06/1964,Gemini,Yes,5,Honesty;Intelligence,Negativity,Long-term,179661
Wesley,43,M,North Tara,Masters,Solicitor,thank;everyone,Christian,22-31,M,7,7,1,6,7,No,No,Non-Vegetarian,3,29/01/1991,Aquarius,Yes,4,Humor;Honesty;Kindness,Disloyalty,Casual,73484
Rita,31,F,Harrisborough,PhD,"Teacher, English as a foreign language",operation,Christian,28-44,M,7,3,4,4,7,No,Yes,Other,3,18/05/1979,Taurus,Yes,4,Compatibility,Negativity,Casual,112989
Mary,34,M,South Mike,PhD,"Programmer, systems",bad;responsibility,Hindu,28-45,M,1,6,9,1,7,No,Yes,Vegetarian,3,03/10/1972,Libra,No,0,Kindness;Intelligence;Intelligence,Negativity;Smoking,Marriage,66212
Lindsey,20,M,West Sherry,High School,Fast food restaurant manager,government;save,Christian,25-43,F,9,4,1,8,9,Yes,No,Non-Vegetarian,2,19/05/1990,Taurus,No,0,Humor;Intelligence,Smoking,Marriage,73525
John,27,M,Shieldsmouth,Bachelors,"Producer, television/film/video",social;hold,Other,28-31,F,2,4,6,8,1,No,Yes,Non-Vegetarian,1,10/04/1962,Aries,Yes,2,Humor;Compatibility;Honesty,Smoking,Casual,193707
Renee,24,F,West Jennymouth,High School,Charity officer,require,Hindu,20-45,M,4,5,3,4,1,No,Yes,Vegan,7,01/01/1984,Capricorn,Yes,3,Support;Kindness;Honesty,Smoking,Casual,93208
Deborah,18,F,Annetteside,Bachelors,Dealer,chance;middle;my,Hindu,21-45,M,3,7,7,10,9,No,Yes,Other,7,06/03/1988,Pisces,Yes,4,Support;Kindness;Intelligence,Smoking,Casual,63828
Laura,43,F,East Mirandastad,High School,Dietitian,field,Atheist,20-37,F,9,7,1,9,2,Yes,Yes,Non-Vegetarian,5,09/09/1999,Virgo,Yes,1,Compatibility,Disloyalty,Casual,179783
Brian,42,M,West Hannahville,PhD,Video editor,loss,Buddhist,26-35,M,3,6,9,10,7,No,Yes,Vegan,2,09/08/1969,Leo,Yes,4,Compatibility;Compatibility;Compatibility,Negativity,Long-term,33420
David,28,F,South Jill,Bachelors,Armed forces training and education officer,Mrs;tough,Christian,20-42,F,2,3,9,2,3,Yes,Yes,Vegetarian,5,19/04/2002,Aries,No,0,Humor;Honesty;Support,Negativity,Casual,126752
Daniel,43,M,Masonshire,High School,Environmental health practitioner,hundred;listen,Atheist,25-32,F,2,6,4,10,3,No,No,Vegan,8,01/04/1966,Aries,No,0,Humor,Disloyalty,Casual,161373
Sabrina,45,F,North Miguel,Bachelors,Health physicist,matter,Hindu,25-42,F,1,6,7,9,5,Yes,Yes,Vegan,9,07/05/2005,Taurus,Yes,2,Honesty,Disloyalty,Marriage,145294
Devin,53,M,Reidbury,Masters,Fish farm manager,seat;about,Atheist,23-43,F,9,1,7,8,5,Yes,No,Vegan,7,17/11/1988,Scorpio,Yes,0,Honesty;Support;Honesty,Negativity,Long-term,154019
Anthony,47,M,Brandiberg,Masters,Medical illustrator,president;public;toward,Buddhist,27-44,M,3,10,6,6,10,Yes,Yes,Vegetarian,1,29/01/1963,Aquarius,No,0,Compatibility;Compatibility,Disloyalty,Casual,95726
Matthew,41,M,West Elizabethside,Bachelors,Technical author,clear;shake;last,Buddhist,21-47,F,10,2,10,1,2,No,No,Vegan,1,16/08/2001,Leo,Yes,0,Kindness,Negativity,Casual,171564
Travis,20,M,Smithmouth,Masters,Cabin crew,information,Christian,21-48,F,6,6,1,10,10,Yes,No,Vegan,4,17/12/1964,Sagittarius,Yes,0,Compatibility;Humor,Smoking,Marriage,145668
John,31,F,Rogerside,High School,Technical brewer,upon;away;choice,Jewish,21-48,F,7,4,9,5,5,No,No,Non-Vegetarian,2,18/11/1999,Scorpio,No,0,Compatibility;Intelligence,Negativity;Smoking,Casual,36102
Marissa,50,F,Dodsonview,Masters,Barista,school;rich;today,Other,23-39,M,9,7,10,10,1,Yes,Yes,Vegan,10,02/07/1995,Cancer,Yes,4,Support;Kindness,Disloyalty;Negativity,Casual,148015
Tyler,29,M,Cindyville,High School,Production manager,beautiful;require;anyone,Other,29-44,M,5,4,6,5,5,No,No,Vegetarian,10,04/03/1980,Pisces,Yes,5,Kindness;Compatibility;Kindness,Negativity;Smoking,Marriage,56641
Megan,25,F,Port Kimberlyborough,Masters,Holiday representative,with;since;chair,Muslim,24-47,F,8,9,7,6,7,Yes,Yes,Other,6,26/07/1970,Leo,Yes,3,Kindness;Kindness,Disloyalty;Disloyalty,Long-term,195656
Rachel,52,M,Tonyville,High School,"Therapist, music",quite,Christian,28-31,F,7,5,4,8,4,Yes,No,Vegetarian,1,08/01/1983,Capricorn,No,0,Humor;Kindness,Smoking,Long-term,193817
Shelia,51,M,Ortegafurt,Masters,"Teacher, early years/pre",huge;of,Other,23-35,F,1,3,10,10,4,Yes,No,Other,8,25/03/1982,Aries,No,0,Support,Smoking,Long-term,184165
Sandra,39,F,Carneychester,High School,Museum/gallery conservator,tree;move;thank,Muslim,21-44,M,7,6,3,8,6,Yes,Yes,Other,8,20/05/1980,Taurus,No,0,Support;Honesty,Smoking,Marriage,133746
Kyle,22,M,Kingside,Masters,Animal technologist,part;weight,Hindu,20-40,F,1,6,4,9,3,Yes,No,Vegan,5,01/05/1987,Taurus,Yes,5,Support;Compatibility,Negativity,Marriage,66631
Randy,29,F,East Heatherbury,Masters,"Surveyor, mining",it,Hindu,25-42,M,7,4,10,4,8,Yes,No,Non-Vegetarian,1,08/11/2004,Scorpio,No,0,Intelligence,Disloyalty;Negativity,Marriage,102991
Sharon,57,F,Susanville,Masters,Environmental education officer,someone;laugh;prevent,Christian,26-45,M,4,7,6,6,7,No,Yes,Vegan,7,27/08/1965,Virgo,Yes,4,Intelligence;Honesty,Smoking;Smoking,Casual,34014
Jonathan,31,F,Port Dean,Masters,"Engineer, structural",prevent,Other,23-46,M,4,8,7,4,10,No,Yes,Other,4,19/11/1964,Scorpio,Yes,4,Intelligence;Humor;Kindness,Disloyalty;Negativity,Casual,41093
Joseph,23,M,Stephanieberg,High School,"Psychologist, prison and probation services",present;maintain,Christian,21-36,F,5,4,3,10,3,No,No,Vegetarian,7,10/06/1978,Gemini,No,0,Compatibility,Smoking;Smoking,Long-term,48070
Richard,44,F,Michelleshire,PhD,Software engineer,majority;positive;trial,Muslim,22-44,F,4,3,4,3,1,No,No,Vegan,7,14/10/1987,Libra,Yes,0,Compatibility;Support;Kindness,Disloyalty,Marriage,65777
Deborah,56,F,South Lisatown,Masters,"Engineer, communications",great,Hindu,29-45,M,5,6,1,2,9,No,No,Vegan,9,17/01/1978,Capricorn,No,0,Humor;Intelligence,Negativity,Marriage,86958
Linda,22,F,Jonberg,PhD,Aid worker,course;enter,Muslim,26-47,M,9,7,10,1,9,No,Yes,Non-Vegetarian,5,26/07/1966,Leo,Yes,1,Intelligence;Humor,Disloyalty;Disloyalty,Long-term,112074
Karen,48,M,East Barbarachester,PhD,Broadcast journalist,commercial,Christian,27-34,M,4,2,6,4,2,No,Yes,Non-Vegetarian,4,16/11/1977,Scorpio,Yes,5,Support;Honesty;Kindness,Disloyalty,Casual,40729
Anthony,27,M,Montgomerystad,PhD,Environmental consultant,age;figure,Atheist,29-35,M,5,1,9,5,7,No,Yes,Non-Vegetarian,9,12/01/1965,Capricorn,No,0,Honesty;Intelligence,Negativity;Negativity,Casual,188823
Brittany,41,F,Brianfurt,PhD,Transport planner,operation,Christian,21-46,F,3,2,8,1,7,Yes,No,Vegan,10,20/10/2000,Libra,No,0,Support;Kindness;Compatibility,Disloyalty;Smoking,Casual,135864
Linda,52,M,Lindatown,PhD,"Exhibitions officer, museum/gallery",fear;candidate,Muslim,24-46,F,1,2,5,4,4,No,Yes,Non-Vegetarian,9,03/08/1963,Leo,Yes,5,Honesty;Honesty,Disloyalty,Marriage,160858
Sheena,58,F,Kristenport,Masters,Art therapist,employee,Buddhist,21-44,F,5,3,2,3,2,Yes,Yes,Non-Vegetarian,10,09/04/1998,Aries,Yes,0,Intelligence,Disloyalty;Smoking,Long-term,135510
Dana,51,M,Johnfort,High School,"Radiographer, diagnostic",another;visit,Hindu,30-46,F,9,3,1,8,7,Yes,No,Non-Vegetarian,7,24/07/1995,Leo,No,0,Honesty,Negativity,Marriage,84748
David,23,F,Triciatown,PhD,Podiatrist,attack,Atheist,21-34,M,6,1,9,1,9,Yes,Yes,Vegetarian,10,28/09/1978,Libra,No,0,Kindness;Support,Negativity;Smoking,Casual,35801
Christian,36,F,Kirstenmouth,Bachelors,Chartered accountant,allow;around,Buddhist,20-50,F,9,6,8,5,3,Yes,No,Non-Vegetarian,6,15/03/2001,Pisces,No,0,Honesty;Humor,Negativity;Disloyalty,Long-term,180262
James,35,M,Lancefort,High School,Chief Executive Officer,issue;though,Jewish,29-31,M,5,9,9,8,9,No,No,Vegetarian,10,25/07/1971,Leo,Yes,0,Compatibility;Kindness,Disloyalty,Marriage,59592
Rebecca,34,M,Port David,PhD,Fish farm manager,morning;arrive;interesting,Other,22-43,M,1,4,1,5,7,No,Yes,Non-Vegetarian,9,04/06/1985,Gemini,No,0,Support;Support,Negativity,Marriage,40647
Richard,48,M,Watkinsside,PhD,"Sound technician, broadcasting/film/video",some,Atheist,29-33,M,8,6,1,7,5,Yes,Yes,Other,5,06/01/1973,Capricorn,No,0,Kindness,Disloyalty,Long-term,169788
Paul,22,M,New Marissaton,High School,Paediatric nurse,late;finally;foreign,Buddhist,22-38,M,9,10,7,7,10,No,Yes,Non-Vegetarian,3,22/10/1960,Libra,No,0,Intelligence,Smoking;Negativity,Long-term,140627
Jonathan,23,F,North Thomasshire,Bachelors,Veterinary surgeon,several;lawyer,Christian,24-34,M,7,3,8,2,9,No,No,Vegetarian,8,21/08/1986,Leo,No,0,Support;Honesty,Smoking,Long-term,100316
Jacqueline,59,M,East Christineville,Bachelors,Futures trader,understand;understand;notice,Atheist,25-39,M,8,1,6,1,10,Yes,Yes,Vegetarian,7,05/10/1992,Libra,Yes,1,Kindness;Intelligence;Support,Disloyalty,Long-term,32368
Jason,42,F,South James,High School,Event organiser,hospital;able;body,Christian,24-36,F,6,6,7,6,4,Yes,No,Non-Vegetarian,4,04/10/1984,Libra,Yes,5,Support;Compatibility,Negativity,Marriage,107575
Rebecca,23,M,Lake Timothy,Bachelors,Technical sales engineer,fund,Hindu,26-32,F,7,7,7,5,10,No,No,Vegan,7,29/06/1979,Cancer,No,0,Support;Humor,Smoking;Smoking,Casual,36655
Matthew,42,F,North Janethaven,Bachelors,"Physicist, medical",candidate,Hindu,21-44,M,7,3,8,8,1,No,No,Vegan,8,07/07/1963,Cancer,Yes,4,Honesty;Compatibility,Disloyalty,Casual,100031
Christopher,24,F,Cisnerosburgh,PhD,"Conservation officer, nature",design;defense,Hindu,24-37,M,9,3,3,6,5,Yes,No,Vegan,10,14/06/1963,Gemini,Yes,1,Compatibility;Honesty,Smoking,Casual,117922
Cynthia,18,M,Paulside,High School,Furniture conservator/restorer,wait;environment;fund,Buddhist,22-48,F,3,5,2,9,9,Yes,No,Vegetarian,8,26/08/1976,Virgo,No,0,Kindness,Negativity,Casual,154046
Luke,47,M,East Stevenshire,Bachelors,"Development worker, community",above;rich,Atheist,25-31,F,6,7,3,6,3,Yes,No,Vegan,3,16/10/1996,Libra,Yes,1,Support,Negativity;Smoking,Marriage,174475
Shelley,25,M,Port Amyborough,High School,Teaching laboratory technician,live;positive,Atheist,25-36,M,9,10,9,5,2,No,Yes,Non-Vegetarian,6,03/05/2003,Taurus,Yes,2,Humor;Kindness;Support,Smoking,Casual,62097
Ellen,50,M,West Alejandro,Masters,Social researcher,effect;week;when,Hindu,28-49,F,5,1,1,7,4,Yes,Yes,Non-Vegetarian,6,10/09/1960,Virgo,No,0,Compatibility;Intelligence,Disloyalty,Marriage,172038
Nichole,33,F,Whitemouth,PhD,"Designer, multimedia",good;off;class,Atheist,24-31,M,7,2,8,1,5,Yes,Yes,Vegetarian,8,11/03/1981,Pisces,No,0,Kindness;Support,Smoking;Disloyalty,Casual,154862
Brianna,48,M,Lake Isaiahport,Bachelors,"Production assistant, radio",expert;size;way,Atheist,21-34,F,4,6,2,3,5,Yes,No,Vegetarian,10,12/11/1972,Scorpio,No,0,Compatibility;Honesty,Negativity;Smoking,Marriage,148834
Gregory,24,M,New Angelamouth,Bachelors,Planning and development surveyor,the;finish,Hindu,24-41,M,10,4,9,8,9,No,No,Vegetarian,10,15/11/1963,Scorpio,Yes,2,Support,Negativity;Disloyalty,Casual,123848
Jack,20,F,Priceside,Masters,"Surveyor, building control",yet,Atheist,28-31,M,5,6,8,5,8,No,No,Vegan,6,02/12/1968,Sagittarius,No,0,Compatibility,Negativity;Smoking,Casual,82921
